time,coin,stablecoin,value
2020-10-04,ATOM,0,0.0602253405174589
2020-10-05,ATOM,0,0.0076757841995351
2020-10-06,ATOM,0,-0.124777788889657
2020-10-07,ATOM,0,0.0301760488696177
2020-10-08,ATOM,0,0.0310822196044109
2020-10-09,ATOM,0,0.0247313880610136
2020-10-10,ATOM,0,0.0721673544284489
2020-10-11,ATOM,0,0.0931104645518885
2020-10-12,ATOM,0,-0.0194148635380307
2020-10-13,ATOM,0,0.0076782216648776
2020-10-14,ATOM,0,-0.0469793670071643
2020-10-15,ATOM,0,0.0045209605781024
2020-10-16,ATOM,0,-0.0635674452479857
2020-10-17,ATOM,0,0.0055309875515339
2020-10-18,ATOM,0,0.0589035348339286
2020-10-19,ATOM,0,-0.0472053571971307
2020-10-20,ATOM,0,-0.0894758786794823
2020-10-21,ATOM,0,0.0408855855030752
2020-10-22,ATOM,0,0.0385454639459968
2020-10-23,ATOM,0,-0.0149794756525197
2020-10-24,ATOM,0,0.0331684092578934
2020-10-25,ATOM,0,-0.0462968798901957
2020-10-26,ATOM,0,-0.0279497519789413
2020-10-27,ATOM,0,0.0
2020-10-28,ATOM,0,-0.0674548253333591
2020-10-29,ATOM,0,-0.0368061849910504
2020-10-30,ATOM,0,-0.0028050509276085
2020-10-31,ATOM,0,-0.0019465778829619
2020-11-01,ATOM,0,0.0275452452989535
2020-11-02,ATOM,0,-0.0277617658151181
2020-11-03,ATOM,0,-0.0310085316734749
2020-11-04,ATOM,0,-0.0200796368458449
2020-11-05,ATOM,0,0.0269800537645462
2020-11-06,ATOM,0,0.0801109600709284
2020-11-07,ATOM,0,-0.0544881852840697
2020-11-08,ATOM,0,0.0404673370421313
2020-11-09,ATOM,0,0.0651093714605537
2020-11-10,ATOM,0,-0.0095788045468747
2020-11-11,ATOM,0,-0.0096714461544709
2020-11-12,ATOM,0,-0.0009921620022146
2020-11-13,ATOM,0,0.0356867351310339
2020-11-14,ATOM,0,-0.0325152755847757
2020-11-15,ATOM,0,-0.014753058649726
2020-11-16,ATOM,0,0.0218522799466501
2020-11-17,ATOM,0,0.0396816314466741
2020-11-18,ATOM,0,-0.0339992413157726
2020-11-19,ATOM,0,-0.0033271387968076
2020-11-20,ATOM,0,0.0344894987773807
2020-11-21,ATOM,0,0.117109408146909
2020-11-22,ATOM,0,-0.0782894162973271
2020-11-23,ATOM,0,0.0575227125689319
2020-11-24,ATOM,0,0.0253049080042846
2020-11-25,ATOM,0,-0.0087586882987364
2020-11-26,ATOM,0,-0.101589368870129
2020-11-27,ATOM,0,0.0048570990313288
2020-11-28,ATOM,0,0.0149822463981051
2020-11-29,ATOM,0,-0.0023894873973813
2020-11-30,ATOM,0,0.0254374180556005
2020-12-01,ATOM,0,-0.0566519885585042
2020-12-02,ATOM,0,0.0461920194298031
2020-12-03,ATOM,0,-0.0023595618534337
2020-12-04,ATOM,0,-0.0837293058456807
2020-12-05,ATOM,0,0.0393271017910752
2020-12-06,ATOM,0,-0.0091603693986643
2020-12-07,ATOM,0,-0.0230786932664471
2020-12-08,ATOM,0,-0.0728259883724536
2020-12-09,ATOM,0,0.0136227612322859
2020-12-10,ATOM,0,-0.0297898863915531
2020-12-11,ATOM,0,0.0100288902021424
2020-12-12,ATOM,0,0.0736529095747656
2020-12-13,ATOM,0,0.0245482812052611
2020-12-14,ATOM,0,0.0063309563976405
2020-12-15,ATOM,0,0.0115981906642144
